seqnum,StationNumber,Latitude,Longitude,Elevation,StationName                             ,Who_entered,use_index,source_seqnum,country_seqnum
1400001,13600,47.6675,16.4969,336,Sopron Görbehalom                       ,7,1,116,205
1400002,13710,47.7147,16.6658,116,Fertőrákos                              ,7,1,116,205
1400003,13710,47.7147,16.6658,116,Fertőrákos                              ,7,1,116,205
1400004,13712,47.6842,16.5519,245,Sopron Kertváros                        ,7,1,116,205
1400005,13713,47.6783,16.6025,234,Sopron Meteorológia                     ,7,1,116,205
1400006,13713,47.6783,16.6025,234,Sopron Meteorológia                     ,7,1,116,205
1400007,13801,47.6956,16.8489,114,Sarród Fertőújlak                       ,7,1,116,205
1400008,13801,47.6956,16.8489,114,Sarród Fertőújlak                       ,7,1,116,205
1400009,13801,47.6956,16.8489,114,Sarród Fertőújlak                       ,7,1,116,205
1400010,13802,47.6883,17.0103,116,Kapuvár Rókató                          ,7,1,116,205
1400011,13802,47.6883,17.0103,116,Kapuvár Rókató                          ,7,1,116,205
1400012,13802,47.6883,17.0103,116,Kapuvár Rókató                          ,7,1,116,205
1400013,14201,47.6533,16.4878,421,Sopron Brennbergbánya                   ,7,1,116,205
1400014,14201,47.6533,16.4878,421,Sopron Brennbergbánya                   ,7,1,116,205
1400015,14201,47.6533,16.4878,421,Sopron Brennbergbánya                   ,7,1,116,205
1400016,14304,47.6508,16.5225,510,Sopron Muck-kilátó                      ,7,1,116,205
1400017,14305,47.6089,16.7069,156,Nagycenk                                ,7,1,116,205
1400018,14306,47.6375,16.5986,207,Harka                                   ,7,1,116,205
1400019,14307,47.6411,16.6611,119,Sopron Balf                             ,7,1,116,205
1400020,14403,47.6144,16.86,126,Fertőd Eszterháza                       ,7,1,116,205
1400021,14403,47.6144,16.86,126,Fertőd Eszterháza                       ,7,1,116,205
1400022,14409,47.4978,16.7844,187,Lövő                                    ,7,1,116,205
1400023,14420,47.5147,16.9247,146.5,Csapod                                  ,7,1,116,205
1400024,14420,47.5147,16.9247,146.5,Csapod                                  ,7,1,116,205
1400025,14421,47.5953,16.8625,128,Fertőszentmiklós                        ,7,1,116,205
1400026,14421,47.5953,16.8625,128,Fertőszentmiklós                        ,7,1,116,205
1400027,14704,47.3856,16.5472,270,Kőszeg                                  ,7,1,116,205
1400028,14704,47.3856,16.5472,270,Kőszeg                                  ,7,1,116,205
1400029,14705,47.4242,16.6514,214,Peresznye                               ,7,1,116,205
1400030,14705,47.4242,16.6514,214,Peresznye                               ,7,1,116,205
1400031,14706,47.4833,16.7353,197,Sopronhorpács                           ,7,1,116,205
1400032,14706,47.4833,16.7353,197,Sopronhorpács                           ,7,1,116,205
1400033,14706,47.4833,16.7353,197,Sopronhorpács                           ,7,1,116,205
1400034,14801,47.4058,16.6986,172,Csepreg                                 ,7,1,116,205
1400035,14801,47.4058,16.6986,172,Csepreg                                 ,7,1,116,205
1400036,15311,47.2025,16.6617,198.3,Szombathely Gyöngyöshermán              ,7,1,116,205
1400037,15311,47.2025,16.6617,198.3,Szombathely Gyöngyöshermán              ,7,1,116,205
1400038,15312,47.2242,16.7122,192,Vép                                     ,7,1,116,205
1400039,15312,47.2242,16.7122,192,Vép                                     ,7,1,116,205
1400040,15313,47.3022,16.5906,236,Gencsapáti                              ,7,1,116,205
